date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:58	59572/59572	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22e8b4-59c6a65be73c0%22	https://preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.eot	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.eot	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:17:58	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c7db-59c6a65fb7cc0%22	https://preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont3e6e.svg	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:17:58	59572/59572	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22e8b4-59c6a65be73c0%22	https://preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.eot?	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/ElegantIconsd41d.eot	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:17:59	63664/63664	---M--	200	added ('OK')	font/woff	etag:%22f8b0-59c6a65ec3a80%22	https://preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.woff	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.woff	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:17:59	59388/59388	---MCZ	200	added ('OK')	font/ttf	etag:W/%22e7fc-59c6a65dcf840%22	https://preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.ttf	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.ttf	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:18:00	1752/1752	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2014:48:00%20GMT	https://preview.colorlib.com/theme/cassi/css/owl.video.play.png	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/css/owl.video.play.png	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:18:00	277297/277297	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2243b31-59c6a65cdb600%22	https://preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.svg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/ElegantIcons.svg	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:18:00	23668/23668	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/css/A.bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css,Mcc.8t78HUycpQ.css.pagespeed.cf.IR_9sQCirX.css	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/css/A.bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css,Mcc.8t78HUycpQ.css.pagespeed.cf.IR_9sQCirX.css	(from https://preview.colorlib.com/theme/cassi/index.html)
20:18:00	36634/36634	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+fresco.css.pagespeed.cc.IRWitzmBi9.css	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+fresco.css.pagespeed.cc.IRWitzmBi9.css	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:01	27296/27296	---M--	200	added ('OK')	image/jpeg	etag:%226aa0-59c6a6a461ec0%22	https://preview.colorlib.com/theme/cassi/img/projects/1.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/1.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:01	25842/25842	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/img/projects/x1.jpg.pagespeed.ic.r08CBlLbA5.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/x1.jpg.pagespeed.ic.r08CBlLbA5.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:01	51222/51222	---M--	200	added ('OK')	image/jpeg	etag:%22c816-59c6a6a926a00%22	https://preview.colorlib.com/theme/cassi/img/projects/2.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/2.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:02	21850/21850	---M--	200	added ('OK')	image/jpeg	etag:%22555a-59c6a6a926a00%22	https://preview.colorlib.com/theme/cassi/img/projects/3.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/3.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:02	54278/54278	---M--	200	added ('OK')	image/jpeg	etag:%22d406-59c6a6aa1ac40%22	https://preview.colorlib.com/theme/cassi/img/projects/4.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/4.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:02	52933/52933	---M--	200	added ('OK')	image/jpeg	etag:%22cec5-59c6a6aa1ac40%22	https://preview.colorlib.com/theme/cassi/img/projects/5.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/5.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:03	22368/22368	---M--	200	added ('OK')	image/jpeg	etag:%225760-59c6a6ab0ee80%22	https://preview.colorlib.com/theme/cassi/img/projects/6.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/6.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:03	20904/20904	---M--	200	added ('OK')	image/jpeg	etag:%2251a8-59c6a6ab0ee80%22	https://preview.colorlib.com/theme/cassi/img/projects/7.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/7.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:03	18246/18246	---M--	200	added ('OK')	image/jpeg	etag:%224746-59c6a6acf7300%22	https://preview.colorlib.com/theme/cassi/img/projects/8.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/8.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:04	33631/33631	---M--	200	added ('OK')	image/jpeg	etag:%22835f-59c6a6a64a340%22	https://preview.colorlib.com/theme/cassi/img/projects/11.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/11.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:04	10345/10345	---M--	200	added ('OK')	image/jpeg	etag:%222869-59c6a6acf7300%22	https://preview.colorlib.com/theme/cassi/img/projects/9.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/9.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:04	32122/32122	---M--	200	added ('OK')	image/jpeg	etag:%227d7a-59c6a6a461ec0%22	https://preview.colorlib.com/theme/cassi/img/projects/10.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/10.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:06	10501/10501	---M--	200	added ('OK')	image/jpeg	etag:%222905-59c6a6a556100%22	https://preview.colorlib.com/theme/cassi/img/projects/12.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/12.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:06	28713/28713	---M--	200	added ('OK')	image/jpeg	etag:%227029-59c6a6a73e580%22	https://preview.colorlib.com/theme/cassi/img/projects/13.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/13.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:07	53565/53565	---M--	200	added ('OK')	image/jpeg	etag:%22d13d-59c6a6a8327c0%22	https://preview.colorlib.com/theme/cassi/img/projects/15.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/15.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:07	26925/26925	---M--	200	added ('OK')	image/jpeg	etag:%22692d-59c6a6a8327c0%22	https://preview.colorlib.com/theme/cassi/img/projects/16.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/16.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:07	25009/25009	---M--	200	added ('OK')	image/jpeg	etag:%2261b1-59c6a6a73e580%22	https://preview.colorlib.com/theme/cassi/img/projects/14.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/projects/14.jpg	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:08	74190/74190	---MCZ	200	added ('OK')	application/javascript	etag:W/%22121ce-59c6a671d6780%22	https://preview.colorlib.com/theme/cassi/js/fresco.min.js	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/js/fresco.min.js	(from https://preview.colorlib.com/theme/cassi/gallery.html)
20:18:08	21333/21333	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css.pagespeed.cc.spF6hkY8PO.css	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css.pagespeed.cc.spF6hkY8PO.css	(from https://preview.colorlib.com/theme/cassi/blog.html)
20:18:09	10175/10175	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2014:48:09%20GMT	https://preview.colorlib.com/theme/cassi/blog-single.html	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/blog-single.html	(from https://preview.colorlib.com/theme/cassi/blog.html)
20:18:09	20532/20532	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/css/A.bootstrap.min.css+font-awesome.min.css+elegant-icons.css,Mcc.spF6hkY8PO.css.pagespeed.cf.1al40Xxewm.css	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/css/A.bootstrap.min.css+font-awesome.min.css+elegant-icons.css,Mcc.spF6hkY8PO.css.pagespeed.cf.1al40Xxewm.css	(from https://preview.colorlib.com/theme/cassi/about.html)
20:18:09	22244/22244	---M--	200	added ('OK')	image/jpeg	etag:%2256e4-59c6a66b297c0%22	https://preview.colorlib.com/theme/cassi/img/team-1.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/team-1.jpg	(from https://preview.colorlib.com/theme/cassi/about.html)
20:18:10	17710/17710	---M--	200	added ('OK')	image/jpeg	etag:%22452e-59c6a66a35580%22	https://preview.colorlib.com/theme/cassi/img/team-2.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/team-2.jpg	(from https://preview.colorlib.com/theme/cassi/about.html)
20:18:10	10577/10577	---M--	200	added ('OK')	image/jpeg	etag:%222951-59c6a66b297c0%22	https://preview.colorlib.com/theme/cassi/img/team-3.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/team-3.jpg	(from https://preview.colorlib.com/theme/cassi/about.html)
20:18:10	15361/15361	---M--	200	added ('OK')	image/jpeg	etag:%223c01-59c6a66c1da00%22	https://preview.colorlib.com/theme/cassi/img/team-4.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/team-4.jpg	(from https://preview.colorlib.com/theme/cassi/about.html)
20:18:11	16307/16307	---M--	200	added ('OK')	image/jpeg	etag:%223fb3-59c6a66c1da00%22	https://preview.colorlib.com/theme/cassi/img/team-5.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/team-5.jpg	(from https://preview.colorlib.com/theme/cassi/about.html)
20:18:12	22311/22311	---M--	200	added ('OK')	image/jpeg	etag:%225727-59c6a66d11c40%22	https://preview.colorlib.com/theme/cassi/img/team-6.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/team-6.jpg	(from https://preview.colorlib.com/theme/cassi/about.html)
20:18:13	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261fbb838-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/cassi/contact.html)
20:18:13	29957/29957	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/css/A.bootstrap.min.css+font-awesome.min.css+elegant-icons.css+fresco.css,Mcc.IRWitzmBi9.css.pagespeed.cf.ra1KC0ClIA.css	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/css/A.bootstrap.min.css+font-awesome.min.css+elegant-icons.css+fresco.css,Mcc.IRWitzmBi9.css.pagespeed.cf.ra1KC0ClIA.css	(from https://preview.colorlib.com/theme/cassi/blog-single.html)
20:18:14	26507/26507	---M--	200	added ('OK')	image/jpeg	etag:%22678b-59c6a697fc180%22	https://preview.colorlib.com/theme/cassi/img/blog/bg-1.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/blog/bg-1.jpg	(from https://preview.colorlib.com/theme/cassi/blog-single.html)
20:18:14	11829/11829	---M--	200	added ('OK')	image/jpeg	etag:%222e35-59c6a698f03c0%22	https://preview.colorlib.com/theme/cassi/img/blog/bg-2.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/blog/bg-2.jpg	(from https://preview.colorlib.com/theme/cassi/blog-single.html)
20:18:15	4740/4740	---M--	200	added ('OK')	image/jpeg	etag:%221284-59c6a698f03c0%22	https://preview.colorlib.com/theme/cassi/img/blog/bg-3.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/blog/bg-3.jpg	(from https://preview.colorlib.com/theme/cassi/blog-single.html)
20:18:16	5385/5385	---M--	200	added ('OK')	image/jpeg	etag:%221509-59c6a69bcca80%22	https://preview.colorlib.com/theme/cassi/img/blog/bg-4.jpg	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/blog/bg-4.jpg	(from https://preview.colorlib.com/theme/cassi/blog-single.html)
